segment_name,confidence_assessment,pydub_avg_loudness_dBFS,pydub_silence_%,librosa_avg_RMS,librosa_silence_%,librosa_avg_pitch_Hz,WebRTC_VAD_speech_%,WebRTC_VAD_silence_%,parselmouth_mean_pitch_Hz,parselmouth_jitter,parselmouth_shimmer,mediapipe_mouth_openness_mean,mediapipe_mouth_openness_variance,mediapipe_eyebrow_height_mean,mediapipe_eyebrow_height_variance,mediapipe_frames_analyzed,deepface_most_frequent_emotion,deepface_angry,deepface_disgust,deepface_fear,deepface_happy,deepface_neutral,deepface_sad,deepface_surprise,openface_dominant_emotion_approx,openface_AU01_r,openface_AU02_r,openface_AU04_r,openface_AU05_r,openface_AU06_r,openface_AU07_r,openface_AU09_r,openface_AU10_r,openface_AU12_r,openface_AU14_r,openface_AU15_r,openface_AU17_r,openface_AU20_r,openface_AU23_r,openface_AU25_r,openface_AU26_r,openface_AU45_r,openface_happy,openface_surprised,openface_angry,openface_sad,mediapipe_left_hand_variability,mediapipe_right_hand_variability,mediapipe_avg_hand_movement_amplitude,mediapipe_valid_frames_analyzed,mediapipe_total_frames,mediapipe_coverage_%,wpm
8Dv2Hdf5TRg_seg010,4.0,-25.99,18.75,0.0832000002264976,14.51,1499.8399658203125,85.46,14.54,225.2,0.0271,0.1086,0.01068,5e-05,0.03024,1e-05,26.0,fear,7.7,0.0,46.2,15.4,7.7,19.2,3.8,angry,0.226,0.096,1.003,0.092,0.806,1.114,0.101,0.944,0.53,0.257,0.292,0.715,0.138,0.359,0.591,0.986,0.329,0.53,0.322,1.003,0.292,0.00387,0.0053,0.42575,4.0,767.0,0.5,193.19
8Dv2Hdf5TRg_seg011,3.0,-26.41,20.51,0.0812000036239624,15.57,1563.1400146484375,84.6,15.4,221.61,0.028,0.1119,0.00632,2e-05,0.02209,1e-05,25.0,fear,24.0,0.0,40.0,0.0,12.0,20.0,4.0,angry,0.248,0.182,0.991,0.123,0.521,0.824,0.192,0.635,0.361,0.139,0.326,0.649,0.205,0.36,0.613,0.665,0.215,0.361,0.43,0.991,0.326,0.0126,0.01408,0.34772,657.0,748.0,87.8,213.67
8Dv2Hdf5TRg_seg012,2.0,-26.35,19.93,0.0822999998927116,15.92,1572.06005859375,85.95,14.05,206.03,0.0254,0.1083,0.00974,4e-05,0.03119,3e-05,25.0,sad,4.0,0.0,20.0,8.0,16.0,36.0,16.0,angry,0.208,0.14,0.838,0.047,0.454,0.597,0.137,0.928,0.408,0.061,0.177,0.515,0.109,0.32,0.582,0.588,0.247,0.408,0.349,0.838,0.177,0.02841,0.02756,0.18867,201.0,733.0,27.4,198.36
8Dv2Hdf5TRg_seg013,3.0,-26.96,21.81,0.0804999992251396,17.4,1570.81005859375,83.22,16.78,222.52,0.0289,0.1098,0.01218,6e-05,0.03221,3e-05,26.0,fear,3.8,0.0,53.8,7.7,7.7,26.9,0.0,angry,0.331,0.134,0.929,0.097,0.481,0.736,0.07,0.803,0.573,0.145,0.282,0.808,0.139,0.378,0.699,0.83,0.243,0.573,0.465,0.929,0.282,0.01637,0.01157,0.16533,269.0,768.0,35.0,206.12
8Dv2Hdf5TRg_seg014,3.0,-26.52,19.17,0.0775000005960464,16.07,1552.9100341796875,84.93,15.07,217.17,0.0314,0.1213,0.00758,4e-05,0.02652,3e-05,25.0,sad,16.0,0.0,28.0,20.0,0.0,36.0,0.0,angry,0.318,0.121,0.957,0.051,0.407,0.706,0.091,0.899,0.578,0.115,0.125,0.546,0.178,0.202,0.492,0.41,0.199,0.578,0.439,0.957,0.125,0.0214,0.02368,0.21835,629.0,750.0,83.9,218.74
8Dv2Hdf5TRg_seg015,3.0,-26.67,21.14,0.0795999988913536,16.29,1533.699951171875,84.72,15.28,209.13,0.0293,0.1139,0.01048,6e-05,0.03214,4e-05,26.0,fear,30.8,0.0,38.5,3.8,11.5,7.7,7.7,angry,0.203,0.223,0.797,0.083,0.491,0.676,0.101,0.961,0.527,0.226,0.26,0.57,0.143,0.343,0.669,1.022,0.223,0.527,0.426,0.797,0.26,0.04468,0.02734,0.20902,144.0,759.0,19.0,214.29
8Dv2Hdf5TRg_seg016,2.0,-28.6,26.97,0.0720999985933303,21.18,1540.3599853515625,81.09,18.91,206.63,0.0295,0.1164,0.00782,3e-05,0.02672,1e-05,25.0,sad,16.0,0.0,28.0,4.0,4.0,44.0,4.0,angry,0.199,0.14,0.654,0.072,0.379,0.603,0.064,0.496,0.258,0.229,0.271,0.464,0.124,0.29,0.535,0.917,0.209,0.258,0.34,0.654,0.271,0.04818,0.01959,0.23878,243.0,727.0,33.4,199.93
8Dv2Hdf5TRg_seg017,3.0,-26.96,22.33,0.0781000033020973,18.54,1574.760009765625,83.4,16.6,209.57,0.0279,0.1159,0.00935,5e-05,0.03161,6e-05,24.0,fear,16.7,0.0,45.8,8.3,16.7,12.5,0.0,angry,0.271,0.181,1.048,0.077,0.589,0.884,0.12,1.076,0.609,0.126,0.257,0.61,0.174,0.376,0.623,0.564,0.256,0.609,0.453,1.048,0.257,0.01384,0.01949,0.26575,353.0,720.0,49.0,208.0
8Dv2Hdf5TRg_seg018,4.0,-27.31,22.6,0.0777999982237815,16.37,1591.75,83.35,16.65,220.65,0.0249,0.1115,0.01289,8e-05,0.03166,1e-05,26.0,neutral,7.7,7.7,23.1,7.7,50.0,0.0,3.8,angry,0.244,0.124,0.841,0.074,0.674,1.184,0.106,1.014,0.698,0.396,0.253,0.484,0.176,0.194,0.472,0.711,0.207,0.698,0.368,0.841,0.253,,,,,,,215.75
8Dv2Hdf5TRg_seg019,3.0,-24.72,16.67,0.0888999998569488,11.36,1534.0999755859375,88.7,11.3,223.08,0.0264,0.1137,0.00953,4e-05,0.02559,1e-05,25.0,neutral,12.0,0.0,24.0,12.0,32.0,16.0,4.0,angry,0.471,0.149,0.747,0.085,0.71,1.228,0.126,0.734,0.587,0.212,0.239,0.765,0.218,0.338,0.72,0.939,0.329,0.587,0.62,0.747,0.239,0.01446,0.01033,0.28131,97.0,733.0,13.2,231.75
8Dv2Hdf5TRg_seg020,4.0,-27.28,24.01,0.0799999982118606,19.59,1558.800048828125,81.93,18.07,210.3,0.0268,0.1117,0.01385,9e-05,0.03586,3e-05,25.0,fear,8.0,0.0,36.0,16.0,20.0,12.0,8.0,angry,0.368,0.174,0.988,0.097,0.808,1.398,0.096,1.23,0.862,0.307,0.217,0.67,0.195,0.259,0.666,0.799,0.285,0.862,0.542,0.988,0.217,0.01579,0.01086,0.1899,296.0,729.0,40.6,205.26
8XQ1onjXJK0_seg000,4.0,-35.15,41.32,0.0432999990880489,29.5,1902.27001953125,81.21,18.79,172.16,0.0205,0.1015,0.00936,8e-05,0.02071,6e-05,27.0,angry,81.5,0.0,3.7,3.7,7.4,3.7,0.0,sad,0.399,0.259,0.905,0.153,0.815,1.234,0.146,0.772,0.565,0.607,1.068,0.893,0.313,0.435,0.808,0.685,0.247,0.565,0.658,0.905,1.068,0.01147,0.01055,0.22833,289.0,800.0,36.1,131.26
8XQ1onjXJK0_seg001,4.0,-33.61,35.98,0.050000000745058,27.94,1873.93994140625,80.38,19.62,166.53,0.0209,0.1048,0.00759,5e-05,0.01902,4e-05,27.0,sad,25.9,0.0,14.8,0.0,11.1,48.1,0.0,surprised,0.502,0.198,0.346,0.052,0.308,0.509,0.283,0.943,0.49,0.305,0.388,0.643,0.109,0.187,0.394,0.612,0.246,0.49,0.701,0.346,0.388,0.00916,0.01219,0.35098,150.0,785.0,19.1,157.65
8XQ1onjXJK0_seg002,4.0,-31.99,29.69,0.0566999986767768,24.75,1858.800048828125,83.08,16.92,159.78,0.0211,0.0969,0.00921,3e-05,0.03017,0.0,26.0,fear,30.8,0.0,34.6,0.0,34.6,0.0,0.0,angry,0.217,0.075,0.322,0.071,0.364,0.83,0.073,0.393,0.241,0.133,0.234,0.522,0.13,0.09,0.359,0.505,0.136,0.241,0.293,0.322,0.234,0.00202,0.00205,0.13672,315.0,766.0,41.1,152.21
8XQ1onjXJK0_seg003,3.0,-35.35,41.46,0.048200000077486,33.65,1837.52001953125,78.02,21.98,155.98,0.0219,0.0997,0.00816,6e-05,0.01638,4e-05,27.0,angry,44.4,0.0,7.4,0.0,25.9,7.4,14.8,surprised,0.442,0.062,0.477,0.022,0.362,0.709,0.165,0.595,0.208,0.447,0.361,0.699,0.194,0.364,0.444,0.755,0.168,0.208,0.504,0.477,0.361,0.01462,0.01912,0.24844,462.0,786.0,58.8,128.17
8XQ1onjXJK0_seg004,2.0,-32.14,34.53,0.0505999997258186,21.14,1849.1500244140625,88.17,11.83,160.95,0.0209,0.1012,0.00987,8e-05,0.01986,4e-05,25.0,angry,64.0,0.0,20.0,4.0,8.0,4.0,0.0,angry,0.426,0.098,0.743,0.067,0.39,0.702,0.142,0.81,0.307,0.366,0.619,0.52,0.359,0.288,0.639,0.692,0.209,0.307,0.524,0.743,0.619,0.01749,0.0214,0.20217,455.0,736.0,61.8,148.58
8XQ1onjXJK0_seg005,3.0,-29.98,24.29,0.0560000017285347,17.0,1858.5699462890625,91.07,8.93,161.49,0.018,0.1014,0.00562,3e-05,0.01086,1e-05,26.0,angry,53.8,3.8,7.7,7.7,0.0,26.9,0.0,angry,0.354,0.116,0.531,0.065,0.398,0.645,0.102,0.551,0.146,0.328,0.359,0.854,0.184,0.157,0.578,0.636,0.177,0.146,0.469,0.531,0.359,0.01522,0.02204,0.21037,644.0,758.0,85.0,172.73
8XQ1onjXJK0_seg006,2.0,-36.47,41.01,0.0443999990820884,34.4,1866.6199951171875,74.5,25.5,160.51,0.022,0.1038,0.00601,1e-05,0.02551,1e-05,26.0,angry,61.5,0.0,0.0,7.7,11.5,19.2,0.0,sad,0.243,0.109,0.573,0.036,0.296,0.455,0.126,0.511,0.151,0.236,0.945,0.635,0.346,0.195,0.472,0.506,0.166,0.151,0.352,0.573,0.945,0.00202,0.00213,0.15685,320.0,759.0,42.2,134.6
8XQ1onjXJK0_seg007,2.0,-31.37,31.55,0.0529000014066696,22.59,1786.47998046875,85.47,14.53,156.03,0.0191,0.0968,0.00441,2e-05,0.01958,4e-05,26.0,angry,42.3,0.0,11.5,0.0,42.3,3.8,0.0,angry,0.248,0.143,0.972,0.058,0.281,1.411,0.124,0.564,0.101,0.337,0.25,0.697,0.066,0.133,0.381,0.567,0.282,0.101,0.391,0.972,0.25,0.01873,0.01563,0.18581,340.0,758.0,44.9,191.71
8XQ1onjXJK0_seg008,2.0,-31.0,29.7,0.0549999997019767,21.02,1834.010009765625,83.44,16.56,163.39,0.0181,0.0943,0.00688,4e-05,0.01556,5e-05,27.0,angry,40.7,0.0,14.8,7.4,11.1,7.4,18.5,surprised,0.484,0.028,0.492,0.008,0.211,0.338,0.195,0.35,0.237,0.247,0.134,0.325,0.18,0.381,0.379,0.416,0.097,0.237,0.511,0.492,0.134,0.02518,0.01132,0.28846,212.0,791.0,26.8,187.44
8XQ1onjXJK0_seg009,1.0,-33.67,35.61,0.0540999993681907,29.4,1902.1600341796875,80.89,19.11,167.03,0.0252,0.1077,0.00485,1e-05,0.0124,1e-05,27.0,angry,48.1,0.0,11.1,18.5,7.4,14.8,0.0,angry,0.313,0.151,0.507,0.067,0.358,0.589,0.138,0.568,0.24,0.388,0.332,0.474,0.151,0.133,0.441,0.521,0.125,0.24,0.464,0.507,0.332,0.02362,0.01654,0.27759,654.0,806.0,81.1,166.02
8XQ1onjXJK0_seg010,2.0,-31.76,33.01,0.0568000003695488,23.71,1788.8599853515625,83.41,16.59,163.91,0.0206,0.1017,0.0043,1e-05,0.01142,0.0,25.0,angry,72.0,0.0,12.0,0.0,0.0,16.0,0.0,sad,0.095,0.037,0.205,0.051,0.215,0.221,0.077,0.213,0.088,0.113,0.379,0.173,0.091,0.051,0.219,0.329,0.065,0.088,0.131,0.205,0.379,0.02149,0.01831,0.1504,493.0,747.0,66.0,159.97
8XQ1onjXJK0_seg011,2.0,-29.33,22.98,0.0614000000059604,17.68,1890.9100341796875,88.04,11.96,149.9,0.02,0.1014,0.0054,2e-05,0.01356,1e-05,25.0,angry,80.0,0.0,0.0,0.0,12.0,8.0,0.0,angry,0.578,0.134,0.723,0.125,0.541,1.421,0.2,0.889,0.256,0.603,0.424,1.238,0.203,0.553,0.592,0.775,0.217,0.256,0.713,0.723,0.424,0.03708,0.00683,0.23003,627.0,740.0,84.7,206.16
8XQ1onjXJK0_seg012,1.0,-33.76,37.54,0.0518999993801116,29.01,1803.0400390625,81.54,18.46,154.77,0.0245,0.1144,0.00509,2e-05,0.01538,2e-05,25.0,angry,80.0,4.0,8.0,0.0,4.0,4.0,0.0,angry,0.636,0.15,0.984,0.087,0.785,1.029,0.155,1.026,0.509,0.745,0.48,1.013,0.206,0.461,0.63,0.995,0.212,0.509,0.786,0.984,0.48,0.01024,0.00757,0.29831,511.0,741.0,69.0,157.33
8XQ1onjXJK0_seg013,3.0,-29.77,27.39,0.0538999997079372,14.87,1904.739990234375,89.67,10.33,164.26,0.0196,0.1029,0.00951,6e-05,0.0206,0.0001,25.0,angry,64.0,0.0,8.0,0.0,16.0,12.0,0.0,angry,0.553,0.184,1.074,0.121,0.708,1.022,0.176,0.841,0.644,0.702,0.915,0.906,0.216,0.372,0.894,0.635,0.201,0.644,0.736,1.074,0.915,0.0137,0.01508,0.24917,449.0,725.0,61.9,139.03
8XQ1onjXJK0_seg014,2.0,-30.29,26.07,0.0570000000298023,19.59,1853.4599609375,86.32,13.68,156.64,0.0234,0.1058,0.00698,1e-05,0.03951,0.00011,25.0,angry,40.0,4.0,16.0,0.0,12.0,28.0,0.0,sad,0.466,0.143,0.779,0.024,0.514,0.781,0.336,0.371,0.178,0.217,1.921,1.577,1.541,0.534,1.336,2.836,0.282,0.178,0.61,0.779,1.921,0.014,0.00582,0.13557,443.0,726.0,61.0,170.35
8XQ1onjXJK0_seg015,1.0,-31.02,30.5,0.0608999989926815,23.02,1830.260009765625,87.61,12.39,165.29,0.0217,0.1039,0.00874,7e-05,0.03436,2e-05,26.0,sad,26.9,3.8,3.8,23.1,3.8,38.5,0.0,sad,0.449,0.107,0.601,0.044,0.898,0.944,0.253,1.626,0.777,0.967,1.104,1.012,0.306,0.171,2.095,0.272,0.286,0.777,0.557,0.601,1.104,0.00168,0.00565,0.14473,113.0,761.0,14.8,187.2
8XQ1onjXJK0_seg016,2.0,-32.14,32.91,0.0555999986827373,23.92,1866.6800537109373,85.78,14.22,163.53,0.02,0.0971,0.01222,0.00014,0.02625,0.0001,25.0,angry,72.0,0.0,8.0,4.0,0.0,16.0,0.0,angry,0.355,0.121,0.937,0.127,0.563,1.037,0.196,0.833,0.334,0.342,0.746,1.036,0.26,0.376,0.674,0.862,0.258,0.334,0.476,0.937,0.746,0.02767,0.01302,0.21479,418.0,750.0,55.7,147.84
8XQ1onjXJK0_seg017,2.0,-31.97,29.57,0.0566000007092952,24.26,1914.75,83.62,16.38,162.9,0.0199,0.0927,0.01158,0.0001,0.02418,0.0001,25.0,angry,64.0,0.0,8.0,0.0,16.0,12.0,0.0,angry,0.38,0.123,0.841,0.09,0.641,1.265,0.07,0.763,0.24,0.425,0.567,0.581,0.235,0.288,0.465,0.523,0.122,0.24,0.503,0.841,0.567,0.03409,0.00647,0.35986,184.0,721.0,25.5,137.77
8XQ1onjXJK0_seg018,3.0,-27.98,19.69,0.0658999979496002,13.58,1920.4000244140625,91.36,8.64,159.43,0.0196,0.1025,0.0125,0.0001,0.02812,2e-05,26.0,angry,73.1,3.8,11.5,0.0,3.8,7.7,0.0,angry,0.254,0.095,0.723,0.046,0.409,1.22,0.134,0.903,0.162,0.418,0.621,0.718,0.359,0.247,0.648,0.736,0.244,0.162,0.349,0.723,0.621,0.00254,0.00746,0.13166,241.0,767.0,31.4,202.69
8XQ1onjXJK0_seg019,3.0,-29.0,22.55,0.0623000003397464,16.86,1848.5,89.6,10.4,165.97,0.0206,0.0963,0.00708,3e-05,0.0158,6e-05,25.0,angry,68.0,12.0,4.0,0.0,4.0,12.0,0.0,angry,0.481,0.106,0.772,0.142,0.62,1.158,0.201,0.867,0.322,0.534,0.61,0.848,0.263,0.366,0.746,0.751,0.231,0.322,0.588,0.772,0.61,0.01091,0.00585,0.33104,355.0,733.0,48.4,194.31
8XQ1onjXJK0_seg020,2.0,-31.25,28.53,0.0568999983370304,22.11,1844.68994140625,87.01,12.99,162.97,0.0206,0.1016,0.00825,4e-05,0.0232,2e-05,28.0,angry,50.0,0.0,3.6,7.1,25.0,14.3,0.0,sad,0.334,0.076,0.665,0.054,0.308,0.596,0.127,0.441,0.179,0.286,0.808,0.633,0.22,0.226,0.604,0.617,0.185,0.179,0.41,0.665,0.808,0.01292,0.00355,0.18986,239.0,815.0,29.3,166.03
8XQ1onjXJK0_seg021,2.0,-30.83,27.87,0.0553999990224838,20.82,1853.8900146484373,88.19,11.81,157.29,0.0198,0.1022,0.00639,3e-05,0.01453,4e-05,25.0,angry,64.0,8.0,8.0,8.0,8.0,4.0,0.0,angry,0.398,0.083,0.786,0.098,0.601,1.035,0.132,0.887,0.34,0.553,0.491,0.635,0.164,0.38,0.587,0.761,0.187,0.34,0.48,0.786,0.491,0.00545,0.00986,0.36066,366.0,731.0,50.1,188.91
8XQ1onjXJK0_seg022,3.0,-28.41,22.58,0.061999998986721,14.92,1882.93994140625,93.22,6.78,161.98,0.02,0.101,0.00654,4e-05,0.01812,4e-05,25.0,angry,64.0,0.0,0.0,0.0,8.0,28.0,0.0,angry,0.368,0.098,0.575,0.084,0.389,1.008,0.104,0.541,0.117,0.384,0.361,0.622,0.141,0.454,0.448,0.585,0.195,0.117,0.466,0.575,0.361,0.0276,0.02672,0.41445,371.0,743.0,49.9,193.74
8XQ1onjXJK0_seg023,2.0,-30.73,26.23,0.0597999989986419,21.77,1895.969970703125,85.53,14.47,162.6,0.0195,0.0937,0.0045,1e-05,0.01186,0.0,25.0,angry,56.0,4.0,16.0,8.0,4.0,12.0,0.0,angry,0.119,0.036,0.286,0.053,0.234,0.264,0.086,0.384,0.136,0.237,0.128,0.278,0.121,0.092,0.325,0.319,0.1,0.136,0.156,0.286,0.128,0.02369,0.02458,0.19341,512.0,731.0,70.0,181.04
8XQ1onjXJK0_seg024,3.0,-29.54,27.81,0.0603000000119209,17.83,1857.2900390625,90.05,9.95,162.99,0.0225,0.0993,0.01126,0.00012,0.02595,5e-05,26.0,angry,50.0,3.8,0.0,7.7,3.8,30.8,3.8,angry,0.22,0.07,1.146,0.077,0.849,1.392,0.06,1.08,0.293,0.468,0.288,0.468,0.158,0.244,0.526,0.635,0.164,0.293,0.29,1.146,0.288,0.02739,0.02708,0.37342,111.0,767.0,14.5,187.68
8XQ1onjXJK0_seg025,3.0,-28.46,19.47,0.0640999972820282,15.18,1905.199951171875,88.6,11.4,158.86,0.0218,0.1058,0.01053,7e-05,0.02147,7e-05,25.0,angry,80.0,0.0,4.0,0.0,4.0,12.0,0.0,sad,0.571,0.162,1.199,0.155,0.685,1.399,0.108,0.973,0.269,0.476,1.235,0.739,0.312,0.498,0.821,0.919,0.186,0.269,0.733,1.199,1.235,0.0191,0.01733,0.33977,474.0,726.0,65.3,168.37
8XQ1onjXJK0_seg026,4.0,-29.92,24.01,0.0566999986767768,16.42,1875.3399658203125,90.41,9.59,152.56,0.0212,0.1029,0.01525,9e-05,0.02643,3e-05,25.0,angry,60.0,4.0,0.0,20.0,4.0,12.0,0.0,surprised,1.598,0.082,0.842,0.059,0.367,0.953,0.186,1.006,0.183,0.419,0.961,0.866,0.268,0.415,1.332,0.703,0.185,0.183,1.681,0.842,0.961,0.01933,0.01139,0.46162,250.0,727.0,34.4,178.04
8XQ1onjXJK0_seg027,4.0,-29.87,22.8,0.0579000003635883,18.39,1906.93994140625,87.47,12.53,165.1,0.0224,0.097,0.0089,2e-05,0.02602,2e-05,27.0,sad,22.2,0.0,0.0,11.1,0.0,66.7,0.0,angry,0.055,0.023,0.732,0.097,0.188,0.494,0.305,0.305,0.114,0.305,0.386,0.287,0.161,0.247,0.416,0.244,0.059,0.114,0.078,0.732,0.386,0.00968,0.00148,0.20485,573.0,787.0,72.8,142.64
8XQ1onjXJK0_seg028,4.0,-33.13,34.06,0.0511000007390975,24.51,1802.8599853515625,83.55,16.45,159.22,0.0191,0.1,0.01854,0.00025,0.03818,0.00021,26.0,angry,69.2,0.0,7.7,3.8,7.7,11.5,0.0,angry,0.731,0.152,0.991,0.077,0.565,1.299,0.194,1.002,0.357,0.492,0.965,0.788,0.162,0.548,0.598,0.632,0.28,0.357,0.883,0.991,0.965,0.02386,0.02055,0.24109,247.0,774.0,31.9,178.38
8XQ1onjXJK0_seg029,3.0,-37.5,41.9,0.0414000004529953,36.58,1786.050048828125,70.9,29.1,147.44,0.0235,0.1011,0.01008,0.00012,0.02455,0.00022,26.0,angry,73.1,0.0,3.8,3.8,11.5,7.7,0.0,angry,0.34,0.173,0.76,0.145,0.874,1.224,0.156,1.285,0.666,0.774,0.382,0.636,0.154,0.345,0.737,0.845,0.211,0.666,0.513,0.76,0.382,0.00785,0.00449,0.25106,432.0,754.0,57.3,143.08
8XQ1onjXJK0_seg030,2.0,-26.94,16.93,0.0680000036954879,11.75,1916.97998046875,93.49,6.51,158.74,0.0208,0.1045,0.012,0.0001,0.02645,4e-05,26.0,angry,76.9,0.0,11.5,3.8,7.7,0.0,0.0,sad,0.414,0.12,0.589,0.1,0.435,1.006,0.132,0.883,0.298,0.488,0.663,0.756,0.25,0.391,0.761,0.654,0.232,0.298,0.533,0.589,0.663,0.034,0.04155,0.1802,206.0,763.0,27.0,182.96
